"eventid","iyear","imonth","iday","provstate","city","latitude","longitude","summary","attacktype1_txt","targtype1_txt","nkill","date"
201602180012,2016,2,18,"Babil","Mahmudiyah",33.058529,44.359153,"02/18/2016: An explosive device detonated near a market in Sid Abdallah, Babil, Iraq. At least two people were killed and eight people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident","Bombing/Explosion","Private Citizens & Property",2,"2/18/2016"
201602180013,2016,2,18,"Baghdad","Baghdad",33.371213,44.276278,"02/18/2016: An explosive device detonated near shops in Shuala area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and eight people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Business",1,"2/18/2016"
201602180027,2016,2,18,"Babil","Rasheed",33.115561,44.373309,"02/18/2016: An explosive device detonated in Sayyafiyah area, Rasheed, Babil, Iraq. At least five people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Private Citizens & Property",0,"2/18/2016"
201602180028,2016,2,18,"Al Anbar","Saqlawiyah",33.396865,43.683214,"02/18/2016: Four suicide bombers attacked security forces with explosives-laden vehicles near Al-Maftul crossing, Saqlawiyah, Al Anbar, Iraq. Security forces repelled the assault, killing all four assailants. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Bombing/Explosion","Military",4,"2/18/2016"
201602180029,2016,2,18,"Al Anbar","Hadithah district",34.70514,42.296644,"02/18/2016: Security forces identified and killed six suicide bombers in Hadithah district, Al Anbar, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Bombing/Explosion","Military",6,"2/18/2016"
201602180030,2016,2,17,"Al Anbar","Amiriyat al-Fallujah",33.16277,43.865005,"02/17/2016: Assailants fired at a helicopter causing it to crash in Fuhailat area, Amiriyat al-Fallujah, Al Anbar, Iraq. At least one person was killed and one person was injured in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.","Armed Assault","Military",1,"2/17/2016"
201602180032,2016,2,18,"Kirkuk","Hawijah",35.317163,43.766687,"02/18/2016: Assailants executed 17 people in Hawijah, Kirkuk, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Unknown","Private Citizens & Property",17,"2/18/2016"
201602180034,2016,2,18,"Saladin","Unknown",34.897027,43.806586,"02/18/2016: Assailants attacked the Ajil Oilfield near the Himrin Mountains, Saladin, Iraq. Security forces repelled the assault, killing eight assailants and injuring six assailants. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Bombing/Explosion","Business",8,"2/18/2016"
201602180035,2016,2,18,"Nineveh","Mosul",36.337276,43.121571,"02/18/2016: Assailants executed three former Independent High Electoral Commission employees in Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Unknown","Government (General)",3,"2/18/2016"
201602180052,2016,2,18,"Babil","Al-Sayed Abdullah",33.048944,44.257763,"02/18/2016: An explosive device detonated targeting a military patrol in al-Sayed Abdullah, Mahmudiyah, Babil, Iraq. At least two soldiers were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Military",0,"2/18/2016"
201602180053,2016,2,18,"Kirkuk","Mari",35.681989,43.880167,"02/18/2016: An explosive device detonated at an oil pipeline in Mari, Dibis district, Kirkuk, Iraq. There were no reported casualties resulting from the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Utilities",0,"2/18/2016"
201602180054,2016,2,18,"Al Anbar","Hit district",33.525331,42.93768,"02/18/2016: Assailants attacked the Federal Police headquarters in Hit district, Al Anbar, Iraq. At least two police personnel and an unknown number of assailants were killed in the ensuing clash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.","Unknown","Police",2,"2/18/2016"
201602190009,2016,2,19,"Diyala","Husseiniyah",33.546434,44.413473,"02/19/2016: An explosive device detonated near a market in Husseiniyah, Diyala, Iraq. At least two people were killed and eight people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Private Citizens & Property",2,"2/19/2016"
201602190010,2016,2,19,"Al Anbar","Abu Ghraib district",33.291868,44.065034,"02/19/2016: An explosive device detonated near shops in Abu Ghraib district, Al Anbar, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Business",1,"2/19/2016"
201602190011,2016,2,19,"Baghdad","Baghdad",33.278033,44.328378,"02/19/2016: An explosive device detonated near shops in Amil area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Business",1,"2/19/2016"
201602190012,2016,2,19,"Baghdad","Baghdad",33.305141,44.485858,"02/19/2016: An explosive device detonated targeting a bus in Baghdad al-Jadeeda area Baghdad city, Baghdad governorate, Iraq. At least two people were killed and six people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Transportation",2,"2/19/2016"
201602190049,2016,2,19,"Nineveh","Mosul",36.338644,43.130009,"02/19/2016: Assailants executed 10 civilians in Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Hostage Taking (Kidnapping)","Private Citizens & Property",10,"2/19/2016"
201602200003,2016,2,20,"Baghdad","Baghdad",33.213813,44.385841,"02/20/2016: An explosive device detonated near a produce shop in Abu Disheer neighborhood, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and seven others were injured in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Business",2,"2/20/2016"
201602200004,2016,2,20,"Baghdad","Baghdad",33.297673,44.290557,"02/20/2016: An explosive device attached to the vehicle of an Iraqi Ministry of the Interior Passports Department officer detonated in Amiriyah neighborhood, Baghdad city, Baghdad governorate, Iraq. The owner of the vehicle was killed in the blast. No group claimed responsibility for the attack.","Bombing/Explosion","Government (General)",1,"2/20/2016"
